logarea lgae superv e
1.35 1.35290164682083 1 0.0386886242777109
1.35 1.34178464391734 1 -0.109538081102073
1.35 1.38971718975808 1 0.529562530107796
1.35 1.31434130341513 1 -0.475449287798256
1.35 1.41638058767421 1 0.885074502322823
1.35 1.32658005160047 1 -0.312265978660434
1.35 1.41001730243443 1 0.800230699125677
1.35 1.31649888649117 1 -0.44668151345104
1.35 1.34370522232493 1 -0.0839303690008819
1.35 1.33456284280401 1 -0.205828762613237
1.35 1.32639204034349 1 -0.31477279542014
1.35 1.28651124495082 1 -0.84651673398912
1.35 1.29944308017148 1 -0.674092264380306
1.6 1.56595448156586 1 -0.453940245788544
1.6 1.60144530909602 1 0.0192707879468799
1.6 1.62171734466683 1 0.289564595557749
1.6 1.55455425876426 1 -0.605943216476589
1.6 1.61855308475206 1 0.247374463360757
1.6 1.57249074903084 1 -0.366790012922138
1.6 1.65806655504275 1 0.774220733903348
1.6 1.53800574450288 1 -0.826590073294938
1.6 1.65672198797110 1 0.756293172948062
1.6 1.57394868466072 1 -0.347350871190429
1.6 1.64369846436894 1 0.582646191585809
1.6 1.63379364304710 1 0.450581907294691
1.6 1.61134293284267 1 0.151239104568958
1.6 1.60860941222636 1 0.114792163018137
1.6 1.58401718328241 1 -0.213104222901165
1.6 1.52657645486761 1 -0.978980601765215
1.6 1.58227747401688 1 -0.236300346441567
1.6 1.60528657934628 1 0.0704877246171236
1.6 1.61966957576806 1 0.262261010240763
1.75 1.81021146583371 1 0.802819544449449
1.75 1.80075697832508 1 0.676759711001068
1.75 1.77325839444529 1 0.310111925937235
1.75 1.70489268407691 1 -0.601430878974497
1.75 1.73703252950218 1 -0.172899606637657
1.75 1.72061235097935 1 -0.391835320275277
1.75 1.82113355735783 1 0.948447431437671
1.75 1.80532783970702 1 0.737704529426992
1.75 1.69042699246202 1 -0.794306767173111
1.75 1.78930812295293 1 0.524108306039125
1.75 1.8236101016053 1 0.981468021403998
1.75 1.71957422220148 1 -0.405677037313581
1.75 1.70030117495917 1 -0.662651000544429
1.75 1.69791993714171 1 -0.694400838110596
1.75 1.70924813005840 1 -0.543358265887946
1.75 1.6760732390685 1 -0.985690145753324
1.75 1.71230523065897 1 -0.502596924547106
1.75 1.77752025647787 1 0.366936753038317
1.75 1.73546638245462 1 -0.193781567271799
1.75 1.70487573167775 1 -0.601656910963356
1.75 1.80163589424919 1 0.688478589989245
1.75 1.69222021169262 1 -0.770397177431732
1.75 1.79740462721093 1 0.632061696145684
1.75 1.75178802814335 1 0.0238403752446175
1.75 1.72365387363825 1 -0.351281684823334
1.75 1.72567035170505 1 -0.324395310599357
1.75 1.71825435251230 1 -0.42327529983595
1.75 1.69825123640476 1 -0.689983514603227
1.75 1.78918661822099 1 0.522488242946565
1.75 1.75308970711194 1 0.0411960948258638
1.75 1.75800622923998 1 0.106749723199755
1.75 1.82441265835660 1 0.992168778087944
1.75 1.71413187904982 1 -0.47824161266908
1.75 1.70707070666831 1 -0.572390577755868
1.75 1.79518266018713 1 0.602435469161719
1.75 1.76082628155127 1 0.144350420683622
1.75 1.74587115796749 1 -0.0550512271001935
1.75 1.73765772046754 1 -0.164563727099448
1.75 1.76166430290323 1 0.1555240387097
1.75 1.75091792757157 1 0.0122390342876315
1.75 1.68347849060083 1 -0.886953458655626
1.75 1.73114808950340 1 -0.251358806621283
1.75 1.80332035619067 1 0.71093808254227
1.75 1.67897664053598 1 -0.946978126186877
1.75 1.74370461505605 1 -0.0839384659193456
1.75 1.71108777986374 1 -0.518829601816833
1.75 1.71706238458864 1 -0.439168205484748
1.75 1.75679239121964 1 0.0905652162618935
1.75 1.79790006624535 1 0.638667549937963
1.75 1.75470114629716 1 0.0626819506287575
1.75 1.76840284678619 1 0.245371290482581
1.75 1.71847751691239 1 -0.420299774501473
1.75 1.69955376519356 1 -0.672616464085877
1.75 1.77285494973185 1 0.304732663091272
1.75 1.75399917821633 1 0.0533223762176931
1.75 1.7195341586601 1 -0.406211217865348
1.75 1.78400346412091 1 0.453379521612078
1.75 1.75374097983586 1 0.0498797311447561
1.75 1.76325593373040 1 0.176745783071965
1.75 1.75163833968109 1 0.021844529081136
1.75 1.82280073986622 1 0.970676531549543
1.75 1.78374178959057 1 0.449890527874231
1.75 1.67720802921103 1 -0.970559610519558
1.75 1.76083974980284 1 0.144529997371137
1.75 1.80572630116949 1 0.743017348926514
1.75 1.67816369539360 1 -0.957817394752055
1.75 1.69697028329829 1 -0.707062889356166
1.75 1.71832840680145 0 -0.422287909314036
1.75 1.71593359040562 0 -0.454218794591725
1.85 1.84869790504454 1 -0.0173612660728395
1.85 1.77528426194331 1 -0.99620984075591
1.85 1.84877737058559 1 -0.016301725525409
1.85 1.78146030671196 1 -0.913862577173859
1.85 1.79587258800166 1 -0.72169882664457
1.85 1.82746749076759 1 -0.300433456432074
1.85 1.89281640159898 1 0.570885354653001
1.85 1.87721676285146 1 0.362890171352774
1.85 1.92141629473772 1 0.952217263169587
1.85 1.79929555231938 1 -0.676059302408248
1.85 1.78884003493004 1 -0.81546620093286
1.85 1.81464581282344 1 -0.471389162354171
1.85 1.77566719243769 1 -0.991104100830853
1.85 1.87374493752141 1 0.316599166952074
1.85 1.88275914450642 1 0.436788593418896
1.85 1.83253083796008 1 -0.232922160532326
1.85 1.81023078296566 1 -0.530256227124482
1.85 1.85372582559939 1 0.0496776746585965
1.85 1.85051057923120 1 0.00680772308260202
1.85 1.86338022869313 1 0.178403049241751
1.85 1.88602234220598 1 0.480297896079719
1.85 1.91524419997586 1 0.869922666344792
1.85 1.77595395138487 1 -0.987280648201704
1.85 1.78690094103804 1 -0.841320786159486
1.85 1.82716387734981 1 -0.304481635335833
1.85 1.89166256298777 1 0.555500839836895
1.85 1.86944748749957 1 0.259299833327532
1.85 1.90681447074749 1 0.757526276633143
1.85 1.82760655300226 1 -0.298579293303192
1.85 1.84070094035706 1 -0.123987461905926
1.85 1.80098954011919 1 -0.653472798410803
1.85 1.82956571760587 1 -0.272457098588347
